name_common,year_ID,team_ID
Keegan Akin,2023,BAL
Bryan Baker,2023,BAL
Mike Baumann,2023,BAL
Félix Bautista,2023,BAL
Kyle Bradish,2023,BAL
Yennier Cano,2023,BAL
Danny Coulombe,2023,BAL
Kyle Gibson,2023,BAL
Logan Gillaspie,2023,BAL
Cole Irvin,2023,BAL
Dean Kremer,2023,BAL
Cionel Pérez,2023,BAL
Grayson Rodriguez,2023,BAL
Austin Voth,2023,BAL
Tyler Wells,2023,BAL
Richard Bleier,2023,BOS
Ryan Brasier,2023,BOS
Kutter Crawford,2023,BOS
Tanner Houck,2023,BOS
Kenley Jansen,2023,BOS
Zack Kelly,2023,BOS
Corey Kluber,2023,BOS
Chris Martin,2023,BOS
Kaleb Ort,2023,BOS
Nick Pivetta,2023,BOS
Chris Sale,2023,BOS
John Schreiber,2023,BOS
Garrett Whitlock,2023,BOS
Josh Winckowski,2023,BOS
Hanser Alberto,2023,CHW
Tanner Banks,2023,CHW
Aaron Bummer,2023,CHW
Dylan Cease,2023,CHW
Mike Clevinger,2023,CHW
Jake Diekman,2023,CHW
Lucas Giolito,2023,CHW
Kendall Graveman,2023,CHW
Joe Kelly,2023,CHW
Michael Kopech,2023,CHW
Jimmy Lambert,2023,CHW
Reynaldo López,2023,CHW
Lance Lynn,2023,CHW
Keynan Middleton,2023,CHW
José Ruiz,2023,CHW
Gregory Santos,2023,CHW
Jesse Scholtens,2023,CHW
Peyton Battenfield,2023,CLE
Shane Bieber,2023,CLE
Aaron Civale,2023,CLE
Emmanuel Clase,2023,CLE
Xzavion Curry,2023,CLE
Enyel De Los Santos,2023,CLE
Hunter Gaddis,2023,CLE
Tim Herrin,2023,CLE
James Karinchak,2023,CLE
Eli Morgan,2023,CLE
Zach Plesac,2023,CLE
Cal Quantrill,2023,CLE
Nick Sandlin,2023,CLE
Trevor Stephan,2023,CLE
Tyler Alexander,2023,DET
Matthew Boyd,2023,DET
José Cisnero,2023,DET
Mason Englert,2023,DET
Jason Foley,2023,DET
Garrett Hill,2023,DET
Tyler Holton,2023,DET
Alex Lange,2023,DET
Michael Lorenzen,2023,DET
Matt Manning,2023,DET
Zach McKinstry,2023,DET
Eduardo Rodriguez,2023,DET
Chasen Shreve,2023,DET
Spencer Turnbull,2023,DET
Joey Wentz,2023,DET
Trey Wingenter,2023,DET
Bryan Abreu,2023,HOU
Ronel Blanco,2023,HOU
Hunter Brown,2023,HOU
Luis Garcia,2023,HOU
Cristian Javier,2023,HOU
Seth Martinez,2023,HOU
Phil Maton,2023,HOU
Rafael Montero,2023,HOU
Hector Neris,2023,HOU
Ryan Pressly,2023,HOU
Ryne Stanek,2023,HOU
José Urquidy,2023,HOU
Framber Valdez,2023,HOU
Scott Barlow,2023,KCR
Kris Bubic,2023,KCR
Aroldis Chapman,2023,KCR
Taylor Clarke,2023,KCR
Dylan Coleman,2023,KCR
Jose Cuas,2023,KCR
Nate Eaton,2023,KCR
Amir Garrett,2023,KCR
Zack Greinke,2023,KCR
Carlos Hernández,2023,KCR
Brad Keller,2023,KCR
Jordan Lyles,2023,KCR
Brady Singer,2023,KCR
Josh Staumont,2023,KCR
Josh Taylor,2023,KCR
Ryan Yarbrough,2023,KCR
Tyler Anderson,2023,LAA
Jaime Barria,2023,LAA
Griffin Canning,2023,LAA
Tucker Davidson,2023,LAA
Reid Detmers,2023,LAA
Carlos Estévez,2023,LAA
Jimmy Herget,2023,LAA
Aaron Loup,2023,LAA
Matt Moore,2023,LAA
Shohei Ohtani,2023,LAA
José Quijada,2023,LAA
Patrick Sandoval,2023,LAA
José Suarez,2023,LAA
Ryan Tepera,2023,LAA
Andrew Wantz,2023,LAA
Jorge Alcala,2023,MIN
Jhoan Duran,2023,MIN
Sonny Gray,2023,MIN
Griffin Jax,2023,MIN
Jorge López,2023,MIN
Pablo López,2023,MIN
Kenta Maeda,2023,MIN
Tyler Mahle,2023,MIN
Jovani Moran,2023,MIN
Emilio Pagán,2023,MIN
Joe Ryan,2023,MIN
Cole Sands,2023,MIN
Caleb Thielbar,2023,MIN
Louie Varland,2023,MIN
Albert Abreu,2023,NYY
Colten Brewer,2023,NYY
Jhony Brito,2023,NYY
Gerrit Cole,2023,NYY
Jimmy Cordero,2023,NYY
Nestor Cortes,2023,NYY
Domingo Germán,2023,NYY
Ian Hamilton,2023,NYY
Clay Holmes,2023,NYY
Isiah Kiner-Falefa,2023,NYY
Michael King,2023,NYY
Jonathan Loáisiga,2023,NYY
Ron Marinaccio,2023,NYY
Wandy Peralta,2023,NYY
Clarke Schmidt,2023,NYY
Domingo Acevedo,2023,OAK
Jeurys Familia,2023,OAK
Shintaro Fujinami,2023,OAK
Hogan Harris,2023,OAK
Zach Jackson,2023,OAK
Dany Jiménez,2023,OAK
James Kaprielian,2023,OAK
Richard Lovelady,2023,OAK
Adrián Martinez,2023,OAK
Trevor May,2023,OAK
Sam Moll,2023,OAK
Kyle Muller,2023,OAK
Adam Oller,2023,OAK
Carlos Pérez,2023,OAK
JP Sears,2023,OAK
Chad Smith,2023,OAK
Ken Waldichuk,2023,OAK
Matt Brash,2023,SEA
