name_common,year_ID,team_ID
George Bechtel,1871,ATH
Dick McBride,1871,ATH
Levi Meyerle,1871,ATH
Al Spalding,1871,BOS
Harry Wright,1871,BOS
Ed Pinkham,1871,CHI
George Zettlein,1871,CHI
Charlie Pabor,1871,CLE
Al Pratt,1871,CLE
Bobby Mathews,1871,KEK
Bob Ferguson,1871,NYU
Frank Fleet,1871,NYU
Rynie Wolters,1871,NYU
Asa Brainard,1871,OLY
Bill Stearns,1871,OLY
Cherokee Fisher,1871,ROK
Denny Mack,1871,ROK
Dickie Flowers,1871,TRO
John McMullin,1871,TRO
Dick McBride,1872,ATH
Cherokee Fisher,1872,BAL
Bobby Mathews,1872,BAL
Al Spalding,1872,BOS
Harry Wright,1872,BOS
Jim Britt,1872,BRA
Charlie Pabor,1872,CLE
Al Pratt,1872,CLE
Rynie Wolters,1872,CLE
Jim Clinton,1872,ECK
Martin Malone,1872,ECK
Phonney Martin,1872,ECK
James McDermott,1872,ECK
O'Rourke,1872,ECK
George Zettlein,1872,ECK
Cy Bentley,1872,MAN
Asa Brainard,1872,MAN
Frank Buttery,1872,MAN
Bill Stearns,1872,NAT
Candy Cummings,1872,NYU
John McMullin,1872,NYU
Asa Brainard,1872,OLY
Phonney Martin,1872,TRO
George Zettlein,1872,TRO
Cherokee Fisher,1873,ATH
Dick McBride,1873,ATH
John McMullin,1873,ATH
Asa Brainard,1873,BAL
Candy Cummings,1873,BAL
Davy Force,1873,BAL
Al Spalding,1873,BOS
Harry Wright,1873,BOS
Jim Britt,1873,BRA
Bob Ferguson,1873,BRA
Bill French,1873,MAR
McDoolan,1873,MAR
Frank Sellman,1873,MAR
Ed Stratton,1873,MAR
Phonney Martin,1873,NYU
Bobby Mathews,1873,NYU
George Bechtel,1873,PHI
Charles Fulmer,1873,PHI
George Zettlein,1873,PHI
Hugh Campbell,1873,RES
Frank Fleet,1873,RES
Len Lovett,1873,RES
Rynie Wolters,1873,RES
John Greason,1873,WAS
Bill Stearns,1873,WAS
Dick McBride,1874,ATH
Asa Brainard,1874,BAL
Jack Manning,1874,BAL
Johnny Ryan,1874,BAL
Al Spalding,1874,BOS
Harry Wright,1874,BOS
Tommy Bond,1874,BRA
Bob Ferguson,1874,BRA
Dan Collins,1874,CHI
Davy Force,1874,CHI
George Zettlein,1874,CHI
Cherokee Fisher,1874,HAR
Jack Manning,1874,HAR
Bill Stearns,1874,HAR
John Hatfield,1874,NYU
Bobby Mathews,1874,NYU
George Bechtel,1874,PHI
Candy Cummings,1874,PHI
George Bechtel,1875,ATH
Lon Knight,1875,ATH
Dick McBride,1875,ATH
Ezra Sutton,1875,ATH
Frank Heifer,1875,BOS
Jack Manning,1875,BOS
Cal McVey,1875,BOS
